Fecha,CPU Usado (%),CPU Libre (%),RAM Total,RAM Usada,RAM Libre,Disco Total,Disco Usado,Disco Disponible
2025-04-10 15:43:12,0.0,98.4,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:15,0.0,98.4,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:16,0.0,96.8,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:17,0.0,96.8,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:18,1.6,100.0,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:19,0.0,96.8,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:20,0.0,98.4,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:21,0.0,95.3,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:22,0.0,95.2,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:23,1.6,100.0,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:24,0.0,100.0,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:25,0.0,100.0,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:26,0.0,98.3,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:43:27,0.0,100.0,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:44:01,0.0,98.4,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:45:01,0.0,96.8,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:46:02,0.0,100.0,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:47:01,1.6,98.4,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:48:02,0.0,98.4,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:49:01,0.0,100.0,5.8Gi,587Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:50:01,0.0,98.4,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:51:01,0.0,100.0,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:52:01,0.0,100.0,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:53:01,0.0,98.4,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:54:01,0.0,100.0,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:55:01,0.0,100.0,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:56:01,0.0,95.2,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:57:01,0.0,96.8,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:58:01,0.0,98.4,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 15:59:01,0.0,100.0,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:00:01,1.6,100.0,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:01:01,0.0,100.0,5.8Gi,587Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:02:02,3.2,98.4,5.8Gi,586Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:03:01,0.0,100.0,5.8Gi,587Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:04:01,0.0,100.0,5.8Gi,592Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:05:01,0.0,100.0,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:06:01,0.0,98.4,5.8Gi,592Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:07:01,0.0,98.4,5.8Gi,588Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:08:01,0.0,98.4,5.8Gi,591Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:09:01,0.0,95.2,5.8Gi,590Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:10:01,0.0,98.4,5.8Gi,587Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:11:01,0.0,98.4,5.8Gi,587Mi,4.9Gi,1007G,8.0G,948G
2025-04-10 16:12:01,0.0,98.4,5.8Gi,589Mi,4.9Gi,1007G,8.0G,948G
